dte,openclose,eventName,eventTime
5/16/2018,The Museum is closed today,The Museum is closed today,
5/16/2018,,BLMA Board Meeting,5:00pm - 6:30pm
5/17/2018,The Museum is closed today,The Museum is closed today,
5/18/2018,The Museum is closed today,The Museum is closed today,
5/19/2018,The Museum is closed today,The Museum is closed today,
5/20/2018,The Museum is closed today,The Museum is closed today,
5/21/2018,The Museum is closed today,The Museum is closed today,
5/22/2018,The Museum is closed today,The Museum is closed today,
5/23/2018,The Museum is closed today,The Museum is closed today,
5/24/2018,The Museum is closed today,The Museum is closed today,
5/25/2018,The Museum is closed today,The Museum is closed today,
5/26/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
5/27/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
5/28/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
5/29/2018,The Museum is closed today,The Museum is closed today,
5/30/2018,The Museum is closed today,The Museum is closed today,
5/31/2018,The Museum is closed today,The Museum is closed today,
6/1/2018,The Museum is closed today,The Museum is closed today,
6/2/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/3/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/4/2018,The Museum is closed today,The Museum is closed today,
6/5/2018,The Museum is closed today,The Museum is closed today,
6/6/2018,The Museum is closed today,The Museum is closed today,
6/7/2018,The Museum is closed today,The Museum is closed today,
6/8/2018,The Museum is closed today,The Museum is closed today,
6/9/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/10/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/11/2018,The Museum is closed today,The Museum is closed today,
6/12/2018,The Museum is closed today,The Museum is closed today,
6/13/2018,The Museum is closed today,The Museum is closed today,
6/14/2018,The Museum is closed today,The Museum is closed today,
6/15/2018,The Museum is closed today,The Museum is closed today,
6/16/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
